Province,Year,Gender,Age_Group,IM,Condition_Alcohol,Count,Total_Days,Acute_Days,ALC_Days,Cost,AAF_Total,AAF_Sensitivity,AA_Count,AA_Total_Days,AA_Acute_Days,AA_ALC_Days,AA_Cost
01:NL,2007,Female,15-34,(1).(1),Tuberculosis,0,0,0,0,0,0.282627,0.282627,0,0,0,0,0
01:NL,2007,Female,15-34,(1).(2),HIV,0,0,0,0,0,0.033077,0.033077,0,0,0,0,0
01:NL,2007,Female,15-34,(1).(3),Lower respiratory tract infections,35,344,286,58,395436.6513,0.064383,0.064383,2.253405,22.147752,18.413538,3.734214,25459.39792
01:NL,2007,Female,15-34,(2).(1),Oral cavity and pharynx cancer,0,0,0,0,0,0.362335,0.362335,0,0,0,0,0
01:NL,2007,Female,15-34,(2).(2),Oesaphageal cancer,0,0,0,0,0,0.401332,0.401332,0,0,0,0,0
01:NL,2007,Female,15-34,(2).(3),Colorectal cancer,1,6,6,0,9107.2905,0.045594,0.045594,0.045594,0.273564,0.273564,0,415.2378031
01:NL,2007,Female,15-34,(2).(4),Liver cancer,0,0,0,0,0,0.203199,0.203175,0,0,0,0,0
01:NL,2007,Female,15-34,(2).(5),Pancreatic cancer,0,0,0,0,0,0.038725,0.038725,0,0,0,0,0
01:NL,2007,Female,15-34,(2).(6),Laryngeal cancer,0,0,0,0,0,0.212152,0.212152,0,0,0,0,0
01:NL,2007,Female,15-34,(2).(7),Breast cancer,2,2,2,0,7371.2925,0.148694,0.148694,0.297388,0.297388,0.297388,0,1096.066967
01:NL,2007,Female,15-34,(3).(1),Diabetes,6,24,24,0,16829.6466,-0.18465,-0.18465,-1.1079,-4.4316,-4.4316,0,-3107.594245
01:NL,2007,Female,15-34,(4).(1),Alcoholic psychoses,4,4,4,0,6677.5631,1,1,4,4,4,0,6677.5631
01:NL,2007,Female,15-34,(4).(2),Alcohol abuse,1,1,1,0,3649.4289,1,1,1,1,1,0,3649.4289
01:NL,2007,Female,15-34,(4).(3),Alcohol dependence,6,83,82,1,41441.6053,1,1,6,83,82,1,41441.6053
01:NL,2007,Female,15-34,(4).(4),Degeneration of nervous system due to alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,15-34,(4).(5),Epilepsy,18,56,56,0,62921.9866,0.180623,0.180623,3.251214,10.114888,10.114888,0,11365.15799
01:NL,2007,Female,15-34,(4).(6),Alcoholic polyneuropathy,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,15-34,(4).(7),Alcoholic myopathy,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,15-34,(5).(1),Hypertension,7,16,16,0,17760.8337,0.110044,0.110044,0.770308,1.760704,1.760704,0,1954.473184
01:NL,2007,Female,15-34,(5).(2),Ischaemic heart disease,2,21,21,0,19382.3253,-0.06576,-0.06576,-0.13152,-1.38096,-1.38096,0,-1274.581712
01:NL,2007,Female,15-34,(5).(3),Alcoholic cardiomypathy,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,15-34,(5).(4),Atrial fibrillation and cardiac arrhythmia,8,19,19,0,17766.079,0.079584,0.079584,0.636672,1.512096,1.512096,0,1413.895631
01:NL,2007,Female,15-34,(5).(5),Haemorrhagic stroke,3,36,36,0,46970.478,-0.06431,-0.06431,-0.19293,-2.31516,-2.31516,0,-3020.67144
01:NL,2007,Female,15-34,(5).(6),Ischaemic stroke,1,1,1,0,13779.2669,-0.02101,-0.02101,-0.02101,-0.02101,-0.02101,0,-289.5023976
01:NL,2007,Female,15-34,(5).(7),Oesophageal varices,0,0,0,0,0,0.602788,0.602788,0,0,0,0,0
01:NL,2007,Female,15-34,(6).(1),Alcoholic gastritis,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,15-34,(6).(2),Liver cirrhosis,1,5,5,0,7223.4747,0.602788,0.602788,0.602788,3.01394,3.01394,0,4354.223867
01:NL,2007,Female,15-34,(6).(3),Acute pancreatitis,23,184,184,0,112209.1579,0.187645,0.187645,4.315835,34.52668,34.52668,0,21055.48743
01:NL,2007,Female,15-34,(6).(4),Chronic pancreatitis,1,3,3,0,2623.6275,0.350567,0.350567,0.350567,1.051701,1.051701,0,919.7572218
01:NL,2007,Female,15-34,(6).(5),Alcohol-induced pancreatitis,2,13,13,0,11678.9608,1,1,2,13,13,0,11678.9608
01:NL,2007,Female,15-34,(7).(1),Motor vehicle collisions,19,86,86,0,132392.8187,0.099457265,0.099457265,1.889688035,8.55332479,8.55332479,0,13167.42765
01:NL,2007,Female,15-34,(8).(1),Falls,49,234,231,3,184421.403,0.216604,0.216604,10.613596,50.685336,50.035524,0.649812,39946.41358
01:NL,2007,Female,15-34,(8).(2),Drowning,0,0,0,0,0,0.216604,0.216604,0,0,0,0,0
01:NL,2007,Female,15-34,(8).(3),Fires,0,0,0,0,0,0.216604,0.216604,0,0,0,0,0
01:NL,2007,Female,15-34,(8).(4),Accidental poisoning by substances other than alcohol,23,108,108,0,103919.4594,0.216604,0.216604,4.981892,23.393232,23.393232,0,22509.37058
01:NL,2007,Female,15-34,(8).(5).(1),Accidental poisoning by alcohol,1,1,1,0,1115.4728,1,1,1,1,1,0,1115.4728
01:NL,2007,Female,15-34,(8).(5).(2),Accidental poisoning by NB alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,15-34,(8).(6),Other unintentional injuries,32,267,267,0,370341.6926,0.216604,0.216604,6.931328,57.833268,57.833268,0,80217.49198
01:NL,2007,Female,15-34,(9).(1),Intentional self-poisoning by substances other than alcohol,75,613,604,9,367246.6089,0.271807,0.271807,20.385525,166.617691,164.171428,2.446263,99820.19903
01:NL,2007,Female,15-34,(9).(2).(1),Intentional self-poisoning by alcohol,2,11,11,0,6280.4469,1,1,2,11,11,0,6280.4469
01:NL,2007,Female,15-34,(9).(2).(2),Intentional self-poisoning by NB alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,15-34,(9).(3),Other intentional self-harm,10,111,111,0,45728.8495,0.271807,0.271807,2.71807,30.170577,30.170577,0,12429.4214
01:NL,2007,Female,15-34,(9).(4),Assault / homicide,10,29,29,0,27060.7498,0.271807,0.271807,2.71807,7.882403,7.882403,0,7355.301221
01:NL,2007,Female,15-34,(9).(5),Other intentional injury,0,0,0,0,0,0.271807,0.271807,0,0,0,0,0
01:NL,2007,Female,15-34,(A).(1),Complication of pregnancy by maternal use of alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,15-34,(A).(2),Low birth weight,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,15-34,(A).(3),Fetal alcohol syndrome,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,35-64,(1).(1),Tuberculosis,1,9,9,0,8969.004,0.248486,0.248486,0.248486,2.236374,2.236374,0,2228.671928
01:NL,2007,Female,35-64,(1).(2),HIV,3,27,27,0,21991.1718,0.02588,0.02588,0.07764,0.69876,0.69876,0,569.1315262
01:NL,2007,Female,35-64,(1).(3),Lower respiratory tract infections,131,835,802,33,607382.3889,0.057967,0.057967,7.593677,48.402445,46.489534,1.912911,35208.13494
01:NL,2007,Female,35-64,(2).(1),Oral cavity and pharynx cancer,8,48,48,0,68737.0697,0.330224,0.330224,2.641792,15.850752,15.850752,0,22698.6301
01:NL,2007,Female,35-64,(2).(2),Oesaphageal cancer,2,45,31,14,66274.5644,0.377958,0.377958,0.755916,17.00811,11.716698,5.291412,25049.00181
01:NL,2007,Female,35-64,(2).(3),Colorectal cancer,97,1035,1025,10,1017818.827,0.044165,0.044165,4.284005,45.710775,45.269125,0.44165,44951.96851
