region,Year,Gender,Age_Group,IM,outcome,Condition_Alcohol,Count,Total_Days,Acute_Days,ALC_Days,Cost,AAF_Total,AAF_Sensitivity,AA_Count,AA_Total_Days,AA_Acute_Days,AA_ALC_Days,AA_Cost
AB,2007,Female,15-34,(1).(1),Morbidity,Tuberculosis,10,271,271,0,611568.0586,0.299833,0.299833,2.99833,81.254743,81.254743,0,183368.2857
AB,2007,Female,15-34,(1).(2),Morbidity,HIV,18,137,137,0,143003.9376,0.036317,0.036317,0.653706,4.975429,4.975429,0,5193.474002
AB,2007,Female,15-34,(1).(3),Morbidity,Lower respiratory tract infections,271,1323,1323,0,1281572.328,0.068406,0.068406,18.538026,90.501138,90.501138,0,87667.23664
AB,2007,Female,15-34,(2).(1),Morbidity,Oral cavity and pharynx cancer,4,57,57,0,96348.3888,0.37874,0.37874,1.51496,21.58818,21.58818,0,36490.98877
AB,2007,Female,15-34,(2).(2),Morbidity,Oesaphageal cancer,0,0,0,0,0,0.41541,0.41541,0,0,0,0,0
AB,2007,Female,15-34,(2).(3),Morbidity,Colorectal cancer,8,128,110,18,115918.932,0.046841,0.046841,0.374728,5.995648,5.15251,0.843138,5429.758694
AB,2007,Female,15-34,(2).(4),Morbidity,Liver cancer,5,37,37,0,33024.1291,0.184858,0.18483,0.92429,6.839746,6.839746,0,6104.774457
AB,2007,Female,15-34,(2).(5),Morbidity,Pancreatic cancer,2,24,24,0,22411.4384,0.037903,0.037903,0.075806,0.909672,0.909672,0,849.4607497
AB,2007,Female,15-34,(2).(6),Morbidity,Laryngeal cancer,0,0,0,0,0,0.220199,0.220199,0,0,0,0,0
AB,2007,Female,15-34,(2).(7),Morbidity,Breast cancer,41,94,94,0,208843.9112,0.157167,0.157167,6.443847,14.773698,14.773698,0,32823.37099
AB,2007,Female,15-34,(3).(1),Morbidity,Diabetes,35,146,146,0,133511.2002,-0.1973,-0.1973,-6.9055,-28.8058,-28.8058,0,-26341.7598
AB,2007,Female,15-34,(4).(1),Morbidity,Alcoholic psychoses,67,285,285,0,308914.7507,1,1,67,285,285,0,308914.7507
AB,2007,Female,15-34,(4).(2),Morbidity,Alcohol abuse,26,124,124,0,99188.6096,1,1,26,124,124,0,99188.6096
AB,2007,Female,15-34,(4).(3),Morbidity,Alcohol dependence,34,188,188,0,138007.6135,1,1,34,188,188,0,138007.6135
AB,2007,Female,15-34,(4).(4),Morbidity,Degeneration of nervous system due to alcohol,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,15-34,(4).(5),Morbidity,Epilepsy,114,701,701,0,893436.73,0.191848,0.191848,21.870672,134.485448,134.485448,0,171404.0498
AB,2007,Female,15-34,(4).(6),Morbidity,Alcoholic polyneuropathy,1,38,38,0,28916.9256,1,1,1,38,38,0,28916.9256
AB,2007,Female,15-34,(4).(7),Morbidity,Alcoholic myopathy,0,0,0,0,0,1,1,0,0,0,0,0
