Region,Year,Gender,Age_Group,Population,PCC_litres_year,Correction_factor,Relative_consumption,P_LA,P_FD,P_CD,P_BD
01:NL,2006,Male,15-34,64328,10.5248,0.8,100,0.105333,0.096358,0.798309,0.53572
01:NL,2006,Male,35-64,115715,10.5248,0.8,93.6099,0.024146,0.148933,0.826921,0.402292
01:NL,2006,Male,65+,31409,10.5248,0.8,82.1523,0.102574,0.246361,0.651064,0.270946
01:NL,2006,Female,15-34,64114,10.5248,0.8,47.9856,0.161505,0.124213,0.714282,0.401908
01:NL,2006,Female,35-64,118962,10.5248,0.8,41.5898,0.080387,0.176772,0.74284,0.268426
01:NL,2006,Female,65+,38052,10.5248,0.8,30.1259,0.159123,0.27431,0.566567,0.137028
01:NL,2007,Male,15-34,62710,10.8836,0.8,100,0.111316,0.092724,0.79596,0.528644
01:NL,2007,Male,35-64,116018,10.8836,0.8,93.7162,0.030205,0.145321,0.824474,0.395186
01:NL,2007,Male,65+,32126,10.8836,0.8,82.4528,0.108667,0.242741,0.648592,0.263834
01:NL,2007,Female,15-34,62822,10.8836,0.8,48.8735,0.1675,0.12058,0.711919,0.394827
01:NL,2007,Female,35-64,119452,10.8836,0.8,42.5841,0.086453,0.173162,0.740385,0.261317
01:NL,2007,Female,65+,38948,10.8836,0.8,31.3152,0.165222,0.270692,0.564087,0.129913
01:NL,2008,Male,15-34,58458,11.1228,0.8,100,0.117088,0.089267,0.793645,0.521868
01:NL,2008,Male,35-64,118766,11.1228,0.8,93.8154,0.035998,0.141877,0.822125,0.388399
01:NL,2008,Male,65+,31605,11.1228,0.8,82.7324,0.114499,0.23929,0.646211,0.257039
01:NL,2008,Female,15-34,63053,11.1228,0.8,49.6921,0.173256,0.117121,0.709623,0.388056
01:NL,2008,Female,35-64,122124,11.1228,0.8,43.5021,0.092247,0.169717,0.738036,0.25453
01:NL,2008,Female,65+,37919,11.1228,0.8,32.4129,0.171052,0.26724,0.561708,0.123118
01:NL,2009,Male,15-34,60295,11.4816,0.8,100,0.119567,0.087788,0.792645,0.518962
01:NL,2009,Male,35-64,113810,11.4816,0.8,93.8562,0.038522,0.140409,0.821069,0.385476
01:NL,2009,Male,65+,31605,11.4816,0.8,82.848,0.117034,0.237819,0.645147,0.254114
01:NL,2009,Female,15-34,63360,11.4816,0.8,50.0349,0.175736,0.115642,0.708623,0.38515
01:NL,2009,Female,35-64,119510,11.4816,0.8,43.8857,0.094754,0.168247,0.736999,0.251612
01:NL,2009,Female,65+,38665,11.4816,0.8,32.8714,0.173587,0.26577,0.560643,0.120194
01:NL,2010,Male,15-34,60295,11.362,0.8,100,0.127839,0.082857,0.789304,0.509272
01:NL,2010,Male,35-64,113810,11.362,0.8,93.9913,0.046817,0.135493,0.81769,0.375774
01:NL,2010,Male,65+,31605,11.362,0.8,83.2269,0.125358,0.232888,0.641754,0.24441
01:NL,2010,Female,15-34,63360,11.362,0.8,51.145,0.18399,0.110707,0.705303,0.375465
01:NL,2010,Female,35-64,119510,11.362,0.8,45.1311,0.103029,0.163326,0.733645,0.241917
01:NL,2010,Female,65+,38665,11.362,0.8,34.3601,0.181909,0.260838,0.557254,0.110489
01:NL,2011,Male,15-34,60295,11.6012,0.8,100,0.12508,0.0845,0.79042,0.512503
01:NL,2011,Male,35-64,113810,11.6012,0.8,93.9465,0.04407,0.137136,0.818794,0.379001
01:NL,2011,Male,65+,31605,11.6012,0.8,83.0991,0.122685,0.234557,0.642758,0.247608
01:NL,2011,Female,15-34,63360,11.6012,0.8,50.7806,0.181234,0.11235,0.706415,0.378695
01:NL,2011,Female,35-64,119510,11.6012,0.8,44.7224,0.100271,0.164966,0.734763,0.245149
01:NL,2011,Female,65+,38665,11.6012,0.8,33.8678,0.179241,0.262507,0.558252,0.113687
01:NL,2012,Male,15-34,57700,11.362,0.8,100,0.128921,0.082196,0.788883,0.507988
01:NL,2012,Male,35-64,116085,11.362,0.8,94.0097,0.047882,0.134828,0.81729,0.374495
01:NL,2012,Male,65+,37535,11.362,0.8,83.2699,0.126627,0.232269,0.641103,0.243059
01:NL,2012,Female,15-34,54860,11.362,0.8,51.2902,0.185062,0.110042,0.704896,0.374184
01:NL,2012,Female,35-64,109835,11.362,0.8,45.294,0.1041,0.162662,0.733238,0.240636
01:NL,2012,Female,65+,42420,11.362,0.8,34.5476,0.183182,0.26022,0.556598,0.109138
01:NL,2013,Male,15-34,58985,10.6444,0.8,100,0.129457,0.081863,0.78868,0.507347
01:NL,2013,Male,35-64,109269,10.6444,0.8,94.0193,0.048393,0.13449,0.817117,0.373863
01:NL,2013,Male,65+,42122,10.6444,0.8,83.2914,0.127262,0.23196,0.640778,0.242383
01:NL,2013,Female,15-34,58440,10.6444,0.8,51.3628,0.185584,0.109707,0.704709,0.373548
01:NL,2013,Female,35-64,112837,10.6444,0.8,45.3748,0.104635,0.162329,0.733036,0.239996
01:NL,2013,Female,65+,49540,10.6444,0.8,34.641,0.183812,0.259909,0.556279,0.108464
01:NL,2014,Male,15-34,59558,10.6444,0.8,100,0.11321,0.091566,0.795225,0.526396
01:NL,2014,Male,35-64,110162,10.6444,0.8,93.7481,0.032151,0.144176,0.823673,0.392918
01:NL,2014,Male,65+,44765,10.6444,0.8,82.5283,0.111083,0.241707,0.64721,0.2614
01:NL,2014,Female,15-34,58650,10.6444,0.8,49.1525,0.169328,0.119407,0.711265,0.392602
01:NL,2014,Female,35-64,114179,10.6444,0.8,42.8923,0.088397,0.172016,0.739587,0.25905
01:NL,2014,Female,65+,51085,10.6444,0.8,31.6664,0.167646,0.269661,0.562693,0.127478
01:NL,2015,Male,15-34,60131,10.6444,0.8,100,0.114015,0.091068,0.794918,0.525435
01:NL,2015,Male,35-64,111056,10.6444,0.8,93.7632,0.032927,0.143673,0.8234,0.391967
01:NL,2015,Male,65+,47408,10.6444,0.8,82.564,0.111992,0.241233,0.646775,0.260402
01:NL,2015,Female,15-34,58860,10.6444,0.8,49.2703,0.17012,0.118906,0.710974,0.391646
01:NL,2015,Female,35-64,115520,10.6444,0.8,43.0246,0.089197,0.171518,0.739285,0.258091
01:NL,2015,Female,65+,52629,10.6444,0.8,31.8199,0.168554,0.269186,0.56226,0.12648
02:PE,2006,Male,15-34,17717,9.568,0.8,100,0.115049,0.094423,0.790527,0.469518
02:PE,2006,Male,35-64,28782,9.568,0.8,93.344,0.032135,0.146601,0.821264,0.336714
02:PE,2006,Male,65+,8822,9.568,0.8,81.1606,0.113345,0.244674,0.641981,0.204371
02:PE,2006,Female,15-34,17725,9.568,0.8,45.2229,0.171229,0.122279,0.706493,0.335702
02:PE,2006,Female,35-64,29681,9.568,0.8,38.5654,0.088256,0.174406,0.737338,0.202884
02:PE,2006,Female,65+,11295,9.568,0.8,26.3791,0.169719,0.27258,0.557701,0.070518
02:PE,2007,Male,15-34,17414,9.9268,0.8,100,0.117788,0.092775,0.789437,0.466295
02:PE,2007,Male,35-64,28932,9.9268,0.8,93.3988,0.034888,0.14496,0.820152,0.333483
02:PE,2007,Male,65+,9027,9.9268,0.8,81.3157,0.11611,0.243027,0.640864,0.20114
02:PE,2007,Female,15-34,17567,9.9268,0.8,45.6739,0.173973,0.120632,0.705395,0.332477
02:PE,2007,Female,35-64,29948,9.9268,0.8,39.0705,0.091014,0.172766,0.73622,0.199653
02:PE,2007,Female,65+,11507,9.9268,0.8,26.9845,0.172482,0.270934,0.556584,0.067287
02:PE,2008,Male,15-34,16445,9.9268,0.8,100,0.123835,0.089155,0.78701,0.459195
02:PE,2008,Male,35-64,31255,9.9268,0.8,93.5148,0.040948,0.14135,0.817701,0.326376
02:PE,2008,Male,65+,8760,9.9268,0.8,81.6474,0.12218,0.2394,0.638419,0.194036
02:PE,2008,Female,15-34,17208,9.9268,0.8,46.6399,0.180025,0.117013,0.702962,0.325375
02:PE,2008,Female,35-64,30416,9.9268,0.8,40.1539,0.097072,0.169156,0.733772,0.192546
02:PE,2008,Female,65+,10916,9.9268,0.8,28.2829,0.178553,0.267308,0.554138,0.060182
02:PE,2009,Male,15-34,16445,10.166,0.8,100,0.124385,0.088826,0.786789,0.45855
02:PE,2009,Male,35-64,28135,10.166,0.8,93.5246,0.041515,0.141026,0.817459,0.325724
02:PE,2009,Male,65+,8760,10.166,0.8,81.6764,0.122741,0.239073,0.638186,0.193387
02:PE,2009,Female,15-34,17295,10.166,0.8,46.7262,0.18057,0.116683,0.702747,0.324731
02:PE,2009,Female,35-64,29820,10.166,0.8,40.2493,0.097636,0.168832,0.733532,0.191894
02:PE,2009,Female,65+,11425,10.166,0.8,28.3982,0.179116,0.266981,0.553903,0.059532
02:PE,2010,Male,15-34,16445,9.9268,0.8,100,0.129073,0.086032,0.784895,0.453059
02:PE,2010,Male,35-64,28135,9.9268,0.8,93.6115,0.046202,0.138237,0.815561,0.320231
02:PE,2010,Male,65+,8760,9.9268,0.8,81.9244,0.127438,0.236273,0.63629,0.187895
02:PE,2010,Female,15-34,17295,9.9268,0.8,47.4479,0.185249,0.113887,0.700864,0.319243
02:PE,2010,Female,35-64,29820,9.9268,0.8,41.058,0.102326,0.166044,0.73163,0.186399
02:PE,2010,Female,65+,11425,9.9268,0.8,29.3673,0.183813,0.264181,0.552006,0.05404
02:PE,2011,Male,15-34,16445,9.568,0.8,100,0.124132,0.088995,0.786872,0.458865
02:PE,2011,Male,35-64,28135,9.568,0.8,93.5185,0.041276,0.141198,0.817526,0.326034
02:PE,2011,Male,65+,8760,9.568,0.8,81.6607,0.122497,0.239245,0.638258,0.193699
02:PE,2011,Female,15-34,17295,9.568,0.8,46.6834,0.180309,0.11685,0.702842,0.32505
02:PE,2011,Female,35-64,29820,9.568,0.8,40.1998,0.097409,0.169006,0.733584,0.1922
